	Category_1	Category_2	Category_3	Category_4
Elektrik-->Türen-->Wischeranlage-->aussen	7.0			
Endrohrblenden			116.0	
FK-Schloß				12.0
Fahrertools		31.0		
Fahrwerkselektronik		46.0		
Fanfaren/Sound			7.0	
Fanghaken Schließbügel				9.0
Fanghaken_Schließbügel				25.0
Federbeinaufnahmen			189.0	
Fensterheber				104.0
Fensterschachtleisten				22.0
Flexelemente			6.0	
Frontend		364.0		
Frontend_Motorraum		1934.0		
Frontendträger			5.0	
Frontklappe			1411.0	
Gehängeaufnahme				25.0
Gelenkwellen			391.0	
Gelenkwellen_links				10.0
Gelenkwellen_rechts				3.0
Gesamtfahrzeug-->-->-->	64.0			
Gesamtfahrzeug-->Übersichtsaufnahmen-->-->	1.0			
Getriebe		2200.0		
Getriebegehäuse			13.0	
Getriebeglocke			163.0	
Getriebestütze			231.0	
Getriebestütze / -lager			2.0	
Griffe_Lagerbügel				27.0
Gurtsystem		1.0		
HA		8343.0		
HA links				3.0
HA-Differential			79.0	
HA_rechts				4.0
HIRA			941.0	
Halter und Aufhängungen			1.0	
Halter_Aufhängungen			37.0	
Heck			540.0	
Heckklappe			1382.0	
Heckklappenpuffer				2.0
Heckleuchten_Bremsleuchte			283.0	
Heizung				5.0
Hinten				9.0
Hinten Links			17.0	
Hinten Rechts			22.0	
Hinten_Links			264.0	215.0
Hinten_Rechts			271.0	207.0
Innenraum		197.0	295.0	
Innenraum 12V/48V		16.0		
Innenraum-->-->-->	2.0			
Innenraum-->Fahrertools-->Pedale etc-->	31.0			
Innenraum-->Gurtsystem-->-->	1.0			
Innenraum-->Sitzschienen-->-->	19.0			
Innenraum-->Übersicht-->-->	9.0			
Innenraum_1-7				34.0
Innenteil				19.0
Innenverkleidungen				5.0
Karosserie Montage-->-->-->	2.0			
Karosserie Montage-->Anbauteile-->-->	6.0			
Karosserie Montage-->Anbauteile-->Radlaufblenden-->	2.0			
Karosserie Montage-->Anbauteile-->Radlaufblenden-->hinten links	2.0			
Karosserie Montage-->Anbauteile-->Unterboden-->cW-Verkleidung	9.0			
Karosserie Montage-->Anbauteile-->Zierteile-->	2.0			
Karosserie Montage-->Dachsystem-->Rahmen-->	5.0			
Karosserie Montage-->Frontend-->-->	15.0			
Karosserie Montage-->Frontend-->Frontendträger-->	5.0			
Karosserie Montage-->Klappen-->Frontklappe-->Fanghaken Schließbügel	9.0			
Karosserie Montage-->Klappen-->Heckklappe-->Heckklappenpuffer	2.0			
Karosserie Montage-->Klappen-->Heckklappe-->Schließkeil	2.0			
Karosserie Montage-->Stoßfänger hinten-->Anhängevorrichtung-->	3.0			
Karosserie Montage-->Türen-->Hinten Links-->	4.0			
